classifiers,Accuracy small,MCC small,F1-score small,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.5166666666666667,0.06030226891555272,0.4151260504201681,56/60,6/60
svm,0.55,0.1182165609358651,0.5155502392344498,49/60,17/60
dt,0.7416666666666667,0.5233088623541842,0.731814577175402,56/60,33/60
rf,0.5666666666666667,0.2412090756622109,0.4756302521008404,59/60,9/60
mlp,0.5,0.0,0.41387170302832954,53/60,7/60
stack,0.5916666666666667,0.2328857417567279,0.5487683216944209,54/60,17/60
