classifiers,Accuracy Mid,MCC Mid,F1-score Mid,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.675,0.3998006027111951,0.6548418024928092,55/60,26/60
svm,0.65,0.34641016151377546,0.6266666666666667,54/60,24/60
dt,0.7083333333333334,0.4665770924632119,0.6927803379416282,56/60,29/60
rf,0.75,0.545544725589981,0.7395833333333334,57/60,33/60
mlp,0.7333333333333333,0.48919959047022854,0.7271952259164536,53/60,35/60
stack,0.7416666666666667,0.5095567088346202,0.7350238620984401,54/60,35/60
