classifiers,Accuracy Large,MCC Large,F1-score Large,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.6333333333333333,0.27668578554642986,0.6266968325791855,46/60,30/60
svm,0.7,0.40022240757904204,0.6999166435120867,43/60,41/60
dt,0.7083333333333334,0.4214347811868113,0.7066834276136601,47/60,38/60
rf,0.75,0.5141933776432958,0.7465502675302732,52/60,38/60
mlp,0.725,0.450563556889583,0.7248280175109443,42/60,45/60
stack,0.7333333333333333,0.4666666666666667,0.7333333333333333,44/60,44/60
