classifiers,Accuracy Large,MCC Large,F1-score Large,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.9915966386554622,0.9833286631611973,0.9915978258224247,59/60,60/60
svm,0.9915966386554622,0.9833286631611973,0.9915978258224247,59/60,60/60
dt,1.0,1.0,1.0,60/60,60/60
rf,1.0,1.0,1.0,60/60,60/60
mlp,0.9915966386554622,0.9833286631611973,0.9915978258224247,59/60,60/60
stack,0.9915966386554622,0.9833286631611973,0.9915978258224247,59/60,60/60
