classifiers,Accuracy Mid,MCC Mid,F1-score Mid,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.5166666666666667,0.07647191129018727,0.393939393939394,58/60,4/60
svm_linear,0.5333333333333333,0.07071067811865475,0.52,42/60,22/60
dt,0.8916666666666667,0.7887193973817632,0.89129677374399,57/60,50/60
rf,0.5916666666666667,0.3176750402418492,0.5099591632636054,60/60,11/60
mlp,0.5333333333333333,0.18569533817705186,0.40340909090909094,60/60,4/60
stack,0.55,0.22941573387056177,0.43573667711598746,60/60,6/60
