classifiers,Accuracy small,MCC small,F1-score small,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.525,0.16012815380508713,0.38660209846650523,60/60,3/60
svm_linear,0.44166666666666665,-0.17638342073763938,0.35030303030303034,49/60,4/60
dt,0.5916666666666667,0.21951759136605822,0.5582600856434528,52/60,19/60
rf,0.525,0.16012815380508713,0.38660209846650523,60/60,3/60
mlp,0.5,0.0,0.3333333333333333,60/60,0/60
stack,0.5083333333333333,0.09166984970282113,0.35158897334920775,60/60,1/60
