classifiers,Accuracy small,MCC small,F1-score small,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.5,0.0,0.3333333333333333,60/60,0/60
svm_linear,0.5,0.0,0.41387170302832954,53/60,7/60
dt,0.5,0.0,0.3333333333333333,60/60,0/60
rf,0.5,0.0,0.3333333333333333,60/60,0/60
mlp,0.5,0.0,0.3333333333333333,60/60,0/60
stack,0.5,0.0,0.3333333333333333,60/60,0/60
