classifiers,Accuracy Mid,MCC Mid,F1-score Mid,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.9914529914529915,0.9830508474576272,0.9914529914529915,58/60,58/60
svm_linear,0.8547008547008547,0.7095265926358855,0.8547008547008546,50/60,50/60
dt,1.0,1.0,1.0,59/60,58/60
rf,1.0,1.0,1.0,59/60,58/60
mlp,1.0,1.0,1.0,59/60,58/60
stack,0.9914529914529915,0.9830508474576272,0.9914529914529915,58/60,58/60
