classifiers,Accuracy Mid,MCC Mid,F1-score Mid,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.625,0.34241578083078966,0.5754383206226905,58/60,17/60
svm,0.5583333333333333,0.14363696929192157,0.5172675521821631,51/60,16/60
dt,0.5833333333333334,0.19245008972987526,0.5555555555555556,50/60,20/60
rf,0.75,0.545544725589981,0.7395833333333334,57/60,33/60
mlp,0.75,0.545544725589981,0.7395833333333334,57/60,33/60
stack,0.7,0.44383603287318546,0.6852229670649957,55/60,29/60
