classifiers,Accuracy Small,MCC Small,F1 Small,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.5,0.0,0.3475897064153679,59/60,1/60
svm_linear,0.5416666666666666,0.09331541849264238,0.5172262453368446,46/60,19/60
dt,0.5166666666666667,0.041666666666666664,0.46886446886446886,49/60,13/60
rf,0.48333333333333334,-0.09284766908852593,0.33948863636363635,57/60,1/60
mlp,0.55,0.20044593143431827,0.4459644322845417,59/60,7/60
stack,0.5333333333333333,0.15294382258037453,0.4148380355276907,59/60,5/60
