classifiers,Accuracy Large,MCC Large,F1-score Large,Predicted Normal / Actual  Normal Images,Predicted stagged / Actual  Stagged Images
knn,0.675,0.3585163247540156,0.6711404679924109,47/60,34/60
svm,0.675,0.35400521619692155,0.6731615336266498,45/60,36/60
dt,0.7833333333333333,0.5666666666666667,0.7833333333333333,47/60,47/60
rf,0.7833333333333333,0.5717718748968655,0.7823660714285714,51/60,43/60
mlp,0.7916666666666666,0.5834143687346179,0.7916521980693102,47/60,48/60
stack,0.775,0.5519197266046799,0.7746086956521739,49/60,44/60
